"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma1.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma3.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX"
"97","292.3157958984375","292.3157958984375","292.3157958984375","312.21527099609375","312.21527099609375","312.21527099609375","321.86248779296875","321.86248779296875","321.86248779296875"
"98","293.7540283203125","293.7540283203125","293.7540283203125","290.3345642089844","290.3345642089844","290.3345642089844","301.9333190917969","301.9333190917969","301.9333190917969"
"99","297.91796875","297.91796875","297.91796875","306.4493103027344","306.4493103027344","306.4493103027344","325.3992919921875","325.3992919921875","325.3992919921875"
"100","276.1704406738281","276.1704406738281","276.1704406738281","291.6076354980469","291.6076354980469","291.6076354980469","320.54583740234375","320.54583740234375","320.54583740234375"
"101","300.9826354980469","300.9826354980469","300.9826354980469","300.78717041015625","300.78717041015625","300.78717041015625","340.4351806640625","340.4351806640625","340.4351806640625"
"102","301.4294738769531","301.4294738769531","301.4294738769531","292.8828125","292.8828125","292.8828125","314.683837890625","314.683837890625","314.683837890625"
"103","327.28570556640625","327.28570556640625","327.28570556640625","317.194091796875","317.194091796875","317.194091796875","315.07720947265625","315.07720947265625","315.07720947265625"
"104","321.3467712402344","321.3467712402344","321.3467712402344","317.1089782714844","317.1089782714844","317.1089782714844","340.0161437988281","340.0161437988281","340.0161437988281"
"105","288.9051818847656","288.9051818847656","288.9051818847656","300.3500061035156","300.3500061035156","300.3500061035156","304.4959716796875","304.4959716796875","304.4959716796875"
"106","305.6898193359375","305.6898193359375","305.6898193359375","309.50860595703125","309.50860595703125","309.50860595703125","321.82720947265625","321.82720947265625","321.82720947265625"
"107","284.2986145019531","284.2986145019531","284.2986145019531","310.0641174316406","310.0641174316406","310.0641174316406","339.5443420410156","339.5443420410156","339.5443420410156"
"108","305.2901916503906","305.2901916503906","305.2901916503906","306.3475646972656","306.3475646972656","306.3475646972656","329.7401428222656","329.7401428222656","329.7401428222656"
"109","311.15277099609375","311.15277099609375","311.15277099609375","312.0069580078125","312.0069580078125","312.0069580078125","335.99139404296875","335.99139404296875","335.99139404296875"
"110","284.05303955078125","284.05303955078125","284.05303955078125","293.3506164550781","293.3506164550781","293.3506164550781","307.3055419921875","307.3055419921875","307.3055419921875"
"111","289.3509521484375","289.3509521484375","289.3509521484375","292.9956970214844","292.9956970214844","292.9956970214844","313.3888854980469","313.3888854980469","313.3888854980469"
"112","292.3709716796875","292.3709716796875","292.3709716796875","307.4617919921875","307.4617919921875","307.4617919921875","325.5625","325.5625","325.5625"
"113","293.02813720703125","293.02813720703125","293.02813720703125","298.8968811035156","298.8968811035156","298.8968811035156","336.2652587890625","336.2652587890625","336.2652587890625"
"114","312.42742919921875","312.42742919921875","312.42742919921875","314.6632080078125","314.6632080078125","314.6632080078125","330.94140625","330.94140625","330.94140625"
"115","272.23126220703125","272.23126220703125","272.23126220703125","284.3854064941406","284.3854064941406","284.3854064941406","310.20947265625","310.20947265625","310.20947265625"
"116","307.7742004394531","307.7742004394531","307.7742004394531","327.71563720703125","327.71563720703125","327.71563720703125","322.7727355957031","322.7727355957031","322.7727355957031"
"117","300.31048583984375","300.31048583984375","300.31048583984375","321.6612854003906","321.6612854003906","321.6612854003906","342.1088562011719","342.1088562011719","342.1088562011719"
"118","304.5257263183594","304.5257263183594","304.5257263183594","317.4117736816406","317.4117736816406","317.4117736816406","322.734375","322.734375","322.734375"
"119","284.6290283203125","284.6290283203125","284.6290283203125","311.20257568359375","311.20257568359375","311.20257568359375","316.7115478515625","316.7115478515625","316.7115478515625"
"120","290.11785888671875","290.11785888671875","290.11785888671875","315.984375","315.984375","315.984375","312.7392883300781","312.7392883300781","312.7392883300781"
"121","270.8819580078125","270.8819580078125","270.8819580078125","293.31707763671875","293.31707763671875","293.31707763671875","313.9839782714844","313.9839782714844","313.9839782714844"
"122","296.1541748046875","296.1541748046875","296.1541748046875","323.2633972167969","323.2633972167969","323.2633972167969","334.16827392578125","334.16827392578125","334.16827392578125"
"123","312.53570556640625","312.53570556640625","312.53570556640625","328.57659912109375","328.57659912109375","328.57659912109375","342.28125","342.28125","342.28125"
"124","286.9267272949219","286.9267272949219","286.9267272949219","325.5240478515625","325.5240478515625","325.5240478515625","337.7121276855469","337.7121276855469","337.7121276855469"
"125","272.5859375","272.5859375","272.5859375","299.3923645019531","299.3923645019531","299.3923645019531","325.8333435058594","325.8333435058594","325.8333435058594"
"126","282.8419189453125","282.8419189453125","282.8419189453125","304.9513854980469","304.9513854980469","304.9513854980469","325.4889831542969","325.4889831542969","325.4889831542969"
"127","287.84051513671875","287.84051513671875","287.84051513671875","316.18182373046875","316.18182373046875","316.18182373046875","312.7430419921875","312.7430419921875","312.7430419921875"
"128","307.1282958984375","307.1282958984375","307.1282958984375","322.503662109375","322.503662109375","322.503662109375","329.2169189453125","329.2169189453125","329.2169189453125"
"129","295.7964172363281","295.7964172363281","295.7964172363281","309.08087158203125","309.08087158203125","309.08087158203125","312.0583190917969","312.0583190917969","312.0583190917969"
"130","309.008056640625","309.008056640625","309.008056640625","314.32012939453125","314.32012939453125","314.32012939453125","321.8515625","321.8515625","321.8515625"
"131","324.32659912109375","324.32659912109375","324.32659912109375","351.2613525390625","351.2613525390625","351.2613525390625","344.8035583496094","344.8035583496094","344.8035583496094"
"132","316.46551513671875","316.46551513671875","316.46551513671875","341.6741027832031","341.6741027832031","341.6741027832031","332.616943359375","332.616943359375","332.616943359375"
"133","315.6088562011719","315.6088562011719","315.6088562011719","320.2964172363281","320.2964172363281","320.2964172363281","342.118408203125","342.118408203125","342.118408203125"
"134","315.0785827636719","315.0785827636719","315.0785827636719","324.4886474609375","324.4886474609375","324.4886474609375","316.625","316.625","316.625"
"135","297.07373046875","297.07373046875","297.07373046875","300.724365234375","300.724365234375","300.724365234375","311.3397521972656","311.3397521972656","311.3397521972656"
"136","289","289","289","320.3221130371094","320.3221130371094","320.3221130371094","324.7010803222656","324.7010803222656","324.7010803222656"
"137","291.5301818847656","291.5301818847656","291.5301818847656","302.6451721191406","302.6451721191406","302.6451721191406","308.5946960449219","308.5946960449219","308.5946960449219"
"138","332.08795166015625","332.08795166015625","332.08795166015625","340.44232177734375","340.44232177734375","340.44232177734375","356.5528869628906","356.5528869628906","356.5528869628906"
"139","314.6105651855469","314.6105651855469","314.6105651855469","326.74609375","326.74609375","326.74609375","324.3657531738281","324.3657531738281","324.3657531738281"
