"Step","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MIN","Qwen2.5-0.5B-Instruct-GSM8K-CRPO-sp-p1-b8-gamma2.0-lam1.0-01161659 - response_length/main_chain/mean__MAX","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MIN","qwen2.5-0.5b-instruct-gsm8k-crpo-no-branch - response_length/main_chain/mean__MAX"
"213","310.0340881347656","310.0340881347656","310.0340881347656","266.98077392578125","266.98077392578125","266.98077392578125"
"214","277.6293029785156","277.6293029785156","277.6293029785156","253.9475860595703","253.9475860595703","253.9475860595703"
"215","315.3287048339844","315.3287048339844","315.3287048339844","249.50807189941406","249.50807189941406","249.50807189941406"
"216","298.8489685058594","298.8489685058594","298.8489685058594","248.28448486328125","248.28448486328125","248.28448486328125"
"217","302.5299987792969","302.5299987792969","302.5299987792969","254.0441131591797","254.0441131591797","254.0441131591797"
"218","287.4053039550781","287.4053039550781","287.4053039550781","239.31080627441406","239.31080627441406","239.31080627441406"
"219","302.05645751953125","302.05645751953125","302.05645751953125","249.3000030517578","249.3000030517578","249.3000030517578"
"220","304.1287841796875","304.1287841796875","304.1287841796875","239.8306427001953","239.8306427001953","239.8306427001953"
"221","333.3295593261719","333.3295593261719","333.3295593261719","257.78125","257.78125","257.78125"
"222","315.3699951171875","315.3699951171875","315.3699951171875","265.02679443359375","265.02679443359375","265.02679443359375"
"223","313.8020935058594","313.8020935058594","313.8020935058594","245.29043579101562","245.29043579101562","245.29043579101562"
"224","308.3269348144531","308.3269348144531","308.3269348144531","260.5803527832031","260.5803527832031","260.5803527832031"
"225","321.09765625","321.09765625","321.09765625","264.9439697265625","264.9439697265625","264.9439697265625"
"226","321.13751220703125","321.13751220703125","321.13751220703125","256.6736145019531","256.6736145019531","256.6736145019531"
"227","314.21484375","314.21484375","314.21484375","258.0382080078125","258.0382080078125","258.0382080078125"
"228","333.7200012207031","333.7200012207031","333.7200012207031","284.4049987792969","284.4049987792969","284.4049987792969"
